subject,sequence,emotion
006,006_1_2,negative
006,006_1_3,negative
006,006_1_4,negative
006,006_1_5,negative
006,006_1_6,negative
006,006_2_4,negative
006,006_3_4,negative
006,006_3_5,surprise
006,006_5_10,negative
006,006_5_11,negative
006,006_5_9,surprise
007,007_3_1,negative
007,007_5_3,surprise
007,007_6_1,positive
007,007_6_2,positive
007,007_6_3,positive
007,007_6_5,positive
007,007_7_1,surprise
007,007_7_5,positive
009,009_2_1,negative
009,009_3_2,negative
009,009_3_3,negative
009,009_3_4,surprise
010,010_2_1,negative
010,010_2_8,negative
010,010_4_1,negative
010,010_4_2,negative
011,011_1_4,negative
011,011_2_1,negative
011,011_2_2,negative
011,011_2_3,negative
011,011_2_7,positive
011,011_3_1,negative
011,011_3_4,positive
011,011_3_5,positive
011,011_3_6,positive
011,011_4_1,negative
011,011_4_12,negative
011,011_4_13,negative
011,011_4_2,negative
011,011_5_1,negative
011,011_6_1,negative
011,011_6_13,positive
011,011_6_5,positive
011,011_6_6,positive
011,011_7_1,negative
011,011_7_10,negative
012,012_3_1,negative
012,012_3_2,negative
012,012_7_1,surprise
013,013_1_10,negative
013,013_1_11,negative
013,013_1_12,negative
013,013_1_8,negative
013,013_1_9,negative
013,013_7_7,negative
014,014_1_1,negative
014,014_2_3,surprise
014,014_2_4,positive
014,014_3_3,positive
014,014_3_4,positive
014,014_5_2,negative
014,014_6_1,positive
014,014_6_2,positive
