subject,sequence,emotion
006,006_1_2,negative
006,006_1_3,negative
006,006_1_4,negative
006,006_1_5,negative
006,006_1_6,negative
006,006_2_4,negative
006,006_3_4,negative
006,006_3_5,surprise
006,006_5_10,negative
006,006_5_11,negative
006,006_5_9,surprise
007,007_3_1,negative
007,007_5_3,surprise
007,007_6_1,positive
007,007_6_2,positive
007,007_6_3,positive
007,007_6_5,positive
007,007_7_1,surprise
007,007_7_5,positive
009,009_2_1,negative
009,009_3_2,negative
009,009_3_3,negative
009,009_3_4,surprise
010,010_2_1,negative
010,010_2_8,negative
010,010_4_1,negative
010,010_4_2,negative
011,011_1_4,negative
011,011_2_1,negative
011,011_2_2,negative
011,011_2_3,negative
011,011_2_7,positive
011,011_3_1,negative
011,011_3_4,positive
011,011_3_5,positive
011,011_3_6,positive
011,011_4_1,negative
011,011_4_12,negative
011,011_4_13,negative
011,011_4_2,negative
011,011_5_1,negative
011,011_6_1,negative
011,011_6_13,positive
011,011_6_5,positive
011,011_6_6,positive
011,011_7_1,negative
011,011_7_10,negative
012,012_3_1,negative
012,012_3_2,negative
012,012_7_1,surprise
013,013_1_10,negative
013,013_1_11,negative
013,013_1_12,negative
013,013_1_8,negative
013,013_1_9,negative
013,013_7_7,negative
014,014_1_1,negative
014,014_2_3,surprise
014,014_2_4,positive
014,014_3_3,positive
014,014_3_4,positive
014,014_5_2,negative
014,014_6_1,positive
014,014_6_2,positive
014,014_6_3,positive
014,014_7_1,positive
015,015_5_1,negative
015,015_5_2,negative
015,015_5_3,surprise
016,016_7_1,negative
016,016_7_2,surprise
016,016_7_3,negative
016,016_7_5,surprise
016,016_7_8,positive
017,017_3_1,negative
017,017_3_2,surprise
017,017_3_4,negative
017,017_6_1,negative
018,018_3_1,negative
018,018_5_1,negative
018,018_7_1,surprise
019,019_4_1,positive
020,020_4_1,negative
020,020_4_2,positive
020,020_7_1,negative
020,020_7_10,positive
021,021_7_1,negative
021,021_7_2,negative
022,022_2_3,negative
022,022_3_2,negative
022,022_3_3,positive
022,022_4_1,negative
022,022_5_1,positive
023,023_1_1,negative
024,024_2_1,negative
026,026_1_1,negative
026,026_2_1,negative
026,026_2_2,negative
026,026_2_3,negative
026,026_3_3,negative
026,026_3_4,negative
026,026_5_1,negative
026,026_6_1,negative
026,026_7_3,negative
028,028_4_1,negative
028,028_4_3,surprise
028,028_4_4,surprise
030,030_1_1,negative
030,030_1_2,negative
030,030_5_1,negative
031,031_3_1,negative
032,032_3_1,negative
032,032_3_2,negative
032,032_4_2,negative
032,032_6_1,negative
033,033_1_3,positive
033,033_1_4,negative
033,033_1_5,negative
033,033_2_1,negative
033,033_2_2,negative
034,034_3_1,negative
034,034_7_2,negative
034,034_7_3,negative
035,035_1_1,negative
035,035_4_1,negative
035,035_4_2,negative
035,035_5_2,negative
035,035_5_3,negative
035,035_6_3,negative
035,035_7_1,surprise
035,035_7_2,negative
036,036_7_3,negative
037,037_3_2,negative
