subject_num,subject,sequence,emotion,label,num_frames
1,sub01,EP02_01f,positive,0,41
1,sub01,EP19_05f,negative,1,51
1,sub01,EP19_06f,negative,1,126
2,sub02,EP01_11f,negative,1,51
2,sub02,EP02_04f,negative,1,111
2,sub02,EP03_02f,negative,1,121
2,sub02,EP06_01f,negative,1,100
2,sub02,EP06_02f,negative,1,76
2,sub02,EP09_01,positive,0,100
2,sub02,EP11_01,surprise,2,91
2,sub02,EP13_04,surprise,2,56
2,sub02,EP14_01,surprise,2,46
3,sub03,EP01_2,surprise,2,41
3,sub03,EP07_04,negative,1,86
3,sub03,EP09_03,negative,1,61
3,sub03,EP18_06,negative,1,101
3,sub03,EP19_08,negative,1,41
4,sub04,EP12_01f,negative,1,61
4,sub04,EP12_02f,negative,1,51
4,sub04,EP13_06f,negative,1,91
5,sub05,EP02_07,surprise,2,66
5,sub05,EP03_01,positive,0,61
5,sub05,EP03_06,surprise,2,51
5,sub05,EP04_05,surprise,2,51
5,sub05,EP04_06,surprise,2,86
5,sub05,EP09_05f,negative,1,55
5,sub05,EP12_03f,surprise,2,51
6,sub06,EP01_01,positive,0,56
6,sub06,EP02_31,surprise,2,50
6,sub06,EP15_02,surprise,2,51
6,sub06,EP16_05,negative,1,58
7,sub07,EP01_01,negative,1,78
7,sub07,EP06_02_01,negative,1,81
7,sub07,EP06_02_02,negative,1,56
7,sub07,EP08_02,negative,1,51
7,sub07,EP15_01,negative,1,56
8,sub08,EP13_01f,negative,1,78
9,sub09,EP02_01f,positive,0,71
9,sub09,EP05_05,positive,0,51
9,sub09,EP06_01f,negative,1,121
9,sub09,EP06_02f,positive,0,96
9,sub09,EP09_04,negative,1,121
9,sub09,EP09_05,negative,1,86
9,sub09,EP09f,positive,0,61
9,sub09,EP13_01,negative,1,91
9,sub09,EP13_02,negative,1,61
9,sub09,EP15_05,positive,0,56
9,sub09,EP17_08,negative,1,71
10,sub10,EP13_01,negative,1,66
11,sub11,EP08_01f,negative,1,51
11,sub11,EP13_02f,negative,1,91
11,sub11,EP13_03f,negative,1,76
11,sub11,EP13_05f,negative,1,96
12,sub12,EP01_02,negative,1,76
12,sub12,EP02_05,surprise,2,100
12,sub12,EP03_04,positive,0,97
12,sub12,EP04_16,negative,1,100
12,sub12,EP06_06,surprise,2,76
12,sub12,EP08_01,surprise,2,61
12,sub12,EP08_03,surprise,2,81
12,sub12,EP08_07,positive,0,76
12,sub12,EP09_02,negative,1,86
12,sub12,EP09_06,negative,1,46
12,sub12,EP16_02,negative,1,91
13,sub13,EP03_01,positive,0,81
13,sub13,EP09_10,positive,0,76
14,sub14,EP09_03,positive,0,36
14,sub14,EP09_04,positive,0,86
14,sub14,EP09_06,positive,0,81
15,sub15,EP03_02,positive,0,61
15,sub15,EP04_02,surprise,2,91
15,sub15,EP08_02,negative,1,58
16,sub16,EP01_05,positive,0,91
16,sub16,EP01_08,negative,1,24
16,sub16,EP04_02f,positive,0,91
17,sub17,EP01_06,positive,0,41
17,sub17,EP01_13,surprise,2,91
17,sub17,EP01_15,positive,0,41
17,sub17,EP02_01,negative,1,46
17,sub17,EP02_03,negative,1,51
17,sub17,EP02_11,negative,1,50
17,sub17,EP02_18f,negative,1,91
17,sub17,EP03_02,negative,1,44
17,sub17,EP03_09,positive,0,66
17,sub17,EP05_02,positive,0,97
17,sub17,EP05_03,positive,0,81
17,sub17,EP05_03f,negative,1,66
17,sub17,EP05_04,negative,1,66
17,sub17,EP05_09,negative,1,76
17,sub17,EP05_10,negative,1,41
17,sub17,EP06_04,negative,1,91
17,sub17,EP06_07,positive,0,31
17,sub17,EP06_08,negative,1,76
17,sub17,EP07_01,negative,1,95
17,sub17,EP08_02,negative,1,68
17,sub17,EP10_06,negative,1,58
17,sub17,EP11_01,negative,1,45
17,sub17,EP11_02,negative,1,86
17,sub17,EP12_03,negative,1,54
17,sub17,EP13_03,negative,1,86
17,sub17,EP13_04,negative,1,36
17,sub17,EP13_06,negative,1,46
17,sub17,EP13_09,positive,0,96
17,sub17,EP15_01,negative,1,31
17,sub17,EP15_03,negative,1,38
17,sub17,EP15_04,negative,1,77
17,sub17,EP16_01f,negative,1,64
17,sub17,EP18_07,negative,1,68
19,sub19,EP01_01f,positive,0,100
19,sub19,EP01_02f,positive,0,92
19,sub19,EP02_01,surprise,2,61
19,sub19,EP06_01f,surprise,2,56
19,sub19,EP08_02,positive,0,80
19,sub19,EP11_04f,surprise,2,56
19,sub19,EP13_01,negative,1,86
19,sub19,EP16_01,negative,1,51
19,sub19,EP16_02,negative,1,41
19,sub19,EP19_02,surprise,2,46
19,sub19,EP19_03,surprise,2,56
19,sub19,EP19_04,negative,1,41
20,sub20,EP01_03,negative,1,51
20,sub20,EP06_03,negative,1,31
21,sub21,EP05_02,negative,1,96
22,sub22,EP01_12,negative,1,97
22,sub22,EP13_08,negative,1,106
23,sub23,EP02_01,positive,0,95
23,sub23,EP03_14f,negative,1,61
23,sub23,EP04_03f,negative,1,100
23,sub23,EP05_24f,negative,1,66
23,sub23,EP05_25f,negative,1,81
23,sub23,EP12_02f,negative,1,85
23,sub23,EP12_03,negative,1,76
23,sub23,EP13_04,negative,1,66
24,sub24,EP01_08,negative,1,99
24,sub24,EP02_02f,negative,1,36
24,sub24,EP07_01,negative,1,43
24,sub24,EP07_04f,negative,1,38
24,sub24,EP10_03,negative,1,43
24,sub24,EP18_03,surprise,2,36
25,sub25,EP09_02,negative,1,36
25,sub25,EP10_01,negative,1,76
25,sub25,EP10_10,surprise,2,98
25,sub25,EP12_01,surprise,2,56
25,sub25,EP18_04f,negative,1,41
26,sub26,EP03_10,positive,0,86
26,sub26,EP09_04,negative,1,61
26,sub26,EP09_09,negative,1,56
26,sub26,EP13_02,positive,0,85
26,sub26,EP13_11,negative,1,82
26,sub26,EP15_01,negative,1,40
26,sub26,EP16_01,negative,1,51
26,sub26,EP18_44,negative,1,61
26,sub26,EP18_47,negative,1,81
26,sub26,EP18_49,negative,1,65
26,sub26,EP18_50,negative,1,84
26,sub26,EP18_51,negative,1,61
