subject,sequence,emotion
01,EP02_01f,positive
01,EP19_05f,negative
01,EP19_06f,negative
02,EP01_11f,negative
02,EP02_04f,negative
02,EP03_02f,negative
02,EP06_01f,negative
02,EP06_02f,negative
02,EP09_01,positive
02,EP11_01,surprise
02,EP13_04,surprise
02,EP14_01,surprise
03,EP01_2,surprise
03,EP07_04,negative
03,EP09_03,negative
03,EP18_06,negative
03,EP19_08,negative
04,EP12_01f,negative
04,EP12_02f,negative
04,EP13_06f,negative
05,EP02_07,surprise
05,EP03_01,positive
05,EP03_06,surprise
05,EP04_05,surprise
05,EP04_06,surprise
05,EP09_05f,negative
05,EP12_03f,surprise
06,EP01_01,positive
06,EP02_31,surprise
06,EP15_02,surprise
06,EP16_05,negative
07,EP01_01,negative
07,EP06_02_01,negative
07,EP06_02_02,negative
07,EP08_02,negative
07,EP15_01,negative
08,EP13_01f,negative
09,EP02_01f,positive
09,EP05_05,positive
09,EP06_01f,negative
09,EP06_02f,positive
09,EP09_04,negative
09,EP09_05,negative
09,EP09f,positive
09,EP13_01,negative
09,EP13_02,negative
09,EP15_05,positive
09,EP17_08,negative
10,EP13_01,negative
11,EP08_01f,negative
11,EP13_02f,negative
11,EP13_03f,negative
11,EP13_05f,negative
12,EP01_02,negative
12,EP02_05,surprise
12,EP03_04,positive
12,EP04_16,negative
12,EP06_06,surprise
12,EP08_01,surprise
12,EP08_03,surprise
12,EP08_07,positive
12,EP09_02,negative
12,EP09_06,negative
12,EP16_02,negative
13,EP03_01,positive
13,EP09_10,positive
14,EP09_03,positive
14,EP09_04,positive
14,EP09_06,positive
15,EP03_02,positive
15,EP04_02,surprise
15,EP08_02,negative
16,EP01_05,positive
16,EP01_08,negative
16,EP04_02f,positive
17,EP01_06,positive
17,EP01_13,surprise
17,EP01_15,positive
17,EP02_01,negative
17,EP02_03,negative
17,EP02_11,negative
17,EP02_18f,negative
17,EP03_02,negative
17,EP03_09,positive
17,EP05_02,positive
17,EP05_03,positive
17,EP05_03f,negative
17,EP05_04,negative
17,EP05_09,negative
17,EP05_10,negative
17,EP06_04,negative
17,EP06_07,positive
17,EP06_08,negative
17,EP07_01,negative
17,EP08_02,negative
17,EP10_06,negative
17,EP11_01,negative
17,EP11_02,negative
17,EP12_03,negative
17,EP13_03,negative
17,EP13_04,negative
17,EP13_06,negative
17,EP13_09,positive
17,EP15_01,negative
17,EP15_03,negative
17,EP15_04,negative
17,EP16_01f,negative
17,EP18_07,negative
19,EP01_01f,positive
19,EP01_02f,positive
19,EP02_01,surprise
19,EP06_01f,surprise
19,EP08_02,positive
19,EP11_04f,surprise
19,EP13_01,negative
19,EP16_01,negative
19,EP16_02,negative
19,EP19_02,surprise
19,EP19_03,surprise
19,EP19_04,negative
20,EP01_03,negative
20,EP06_03,negative
21,EP05_02,negative
22,EP01_12,negative
22,EP13_08,negative
23,EP02_01,positive
23,EP03_14f,negative
23,EP04_03f,negative
23,EP05_24f,negative
23,EP05_25f,negative
23,EP12_02f,negative
23,EP12_03,negative
23,EP13_04,negative
24,EP01_08,negative
24,EP02_02f,negative
24,EP07_01,negative
24,EP07_04f,negative
24,EP10_03,negative
24,EP18_03,surprise
25,EP09_02,negative
25,EP10_01,negative
25,EP10_10,surprise
25,EP12_01,surprise
25,EP18_04f,negative
26,EP03_10,positive
26,EP09_04,negative
26,EP09_09,negative
26,EP13_02,positive
26,EP13_11,negative
26,EP15_01,negative
26,EP16_01,negative
26,EP18_44,negative
26,EP18_47,negative
26,EP18_49,negative
26,EP18_50,negative
26,EP18_51,negative
