subject,sequence,emotion,label,onset,apex,offset,frame_count,processed_dynamic_path
1,EP02_01f,happiness,0,46,59,86,41,sub01\s1_EP02_01f.jpg
1,EP19_05f,disgust,1,396,416,446,51,sub01\s1_EP19_05f.jpg
1,EP19_06f,disgust,1,36,71,161,126,sub01\s1_EP19_06f.jpg
2,EP01_11f,repression,1,46,91,96,51,sub02\s2_EP01_11f.jpg
2,EP02_04f,repression,1,31,79,141,111,sub02\s2_EP02_04f.jpg
2,EP03_02f,repression,1,16,81,136,121,sub02\s2_EP03_02f.jpg
2,EP06_01f,repression,1,56,121,155,100,sub02\s2_EP06_01f.jpg
2,EP06_02f,repression,1,36,64,111,76,sub02\s2_EP06_02f.jpg
2,EP09_01,happiness,0,26,56,125,100,sub02\s2_EP09_01.jpg
2,EP11_01,surprise,2,16,69,106,91,sub02\s2_EP11_01.jpg
2,EP13_04,surprise,2,21,51,76,56,sub02\s2_EP13_04.jpg
2,EP14_01,surprise,2,81,114,126,46,sub02\s2_EP14_01.jpg
3,EP01_2,surprise,2,51,69,91,41,sub03\s3_EP01_2.jpg
3,EP07_04,disgust,1,21,81,106,86,sub03\s3_EP07_04.jpg
3,EP09_03,disgust,1,61,76,121,61,sub03\s3_EP09_03.jpg
3,EP18_06,disgust,1,26,81,126,101,sub03\s3_EP18_06.jpg
3,EP19_08,disgust,1,101,121,141,41,sub03\s3_EP19_08.jpg
4,EP12_01f,disgust,1,261,-1,321,61,sub04\s4_EP12_01f.jpg
4,EP12_02f,disgust,1,356,387,406,51,sub04\s4_EP12_02f.jpg
4,EP13_06f,disgust,1,71,108,161,91,sub04\s4_EP13_06f.jpg
5,EP02_07,surprise,2,36,66,101,66,sub05\s5_EP02_07.jpg
5,EP03_01,happiness,0,41,81,101,61,sub05\s5_EP03_01.jpg
5,EP03_06,surprise,2,33,66,83,51,sub05\s5_EP03_06.jpg
5,EP04_05,surprise,2,16,44,66,51,sub05\s5_EP04_05.jpg
5,EP04_06,surprise,2,6,49,91,86,sub05\s5_EP04_06.jpg
5,EP09_05f,disgust,1,69,69,123,55,sub05\s5_EP09_05f.jpg
5,EP12_03f,surprise,2,11,36,61,51,sub05\s5_EP12_03f.jpg
6,EP01_01,happiness,0,81,111,136,56,sub06\s6_EP01_01.jpg
6,EP02_31,surprise,2,99,131,148,50,sub06\s6_EP02_31.jpg
6,EP15_02,surprise,2,56,79,106,51,sub06\s6_EP15_02.jpg
6,EP16_05,disgust,1,94,114,151,58,sub06\s6_EP16_05.jpg
7,EP01_01,disgust,1,79,109,156,78,sub07\s7_EP01_01.jpg
7,EP06_02_01,disgust,1,11,66,91,81,sub07\s7_EP06_02_01.jpg
7,EP06_02_02,disgust,1,36,81,91,56,sub07\s7_EP06_02_02.jpg
7,EP08_02,disgust,1,141,174,191,51,sub07\s7_EP08_02.jpg
