subject,sequence,emotion,label,onset,offset,processed_dynamic_path
006,006_1_2,negative,1,5562,5632,006\s006_006_1_2.jpg
006,006_1_3,negative,1,3912,3988,006\s006_006_1_3.jpg
006,006_1_4,negative,1,2324,2403,006\s006_006_1_4.jpg
006,006_1_5,negative,1,5343,5424,006\s006_006_1_5.jpg
006,006_1_6,negative,1,7160,7259,006\s006_006_1_6.jpg
006,006_2_4,negative,1,180,274,006\s006_006_2_4.jpg
006,006_3_4,negative,1,639,702,006\s006_006_3_4.jpg
006,006_3_5,surprise,2,1787,1856,006\s006_006_3_5.jpg
006,006_5_10,negative,1,1436,1514,006\s006_006_5_10.jpg
006,006_5_11,negative,1,2130,2226,006\s006_006_5_11.jpg
006,006_5_9,surprise,2,5258,5351,006\s006_006_5_9.jpg
007,007_3_1,negative,1,2046,2091,007\s007_007_3_1.jpg
007,007_5_3,surprise,2,2759,2835,007\s007_007_5_3.jpg
007,007_6_1,positive,0,497,541,007\s007_007_6_1.jpg
007,007_6_2,positive,0,1296,1377,007\s007_007_6_2.jpg
007,007_6_3,positive,0,2560,2617,007\s007_007_6_3.jpg
007,007_6_5,positive,0,649,723,007\s007_007_6_5.jpg
007,007_7_1,surprise,2,7030,7070,007\s007_007_7_1.jpg
007,007_7_5,positive,0,554,637,007\s007_007_7_5.jpg
009,009_2_1,negative,1,3577,3641,009\s009_009_2_1.jpg
009,009_3_2,negative,1,1856,1932,009\s009_009_3_2.jpg
009,009_3_3,negative,1,1968,2045,009\s009_009_3_3.jpg
009,009_3_4,surprise,2,3334,3419,009\s009_009_3_4.jpg
010,010_2_1,negative,1,192,228,010\s010_010_2_1.jpg
010,010_2_8,negative,1,1211,1288,010\s010_010_2_8.jpg
010,010_4_1,negative,1,3528,3557,010\s010_010_4_1.jpg
010,010_4_2,negative,1,6708,6738,010\s010_010_4_2.jpg
011,011_1_4,negative,1,3080,3168,011\s011_011_1_4.jpg
011,011_2_1,negative,1,2029,2068,011\s011_011_2_1.jpg
011,011_2_2,negative,1,2069,2125,011\s011_011_2_2.jpg
011,011_2_3,negative,1,3885,3974,011\s011_011_2_3.jpg
011,011_2_7,positive,0,3361,3449,011\s011_011_2_7.jpg
011,011_3_1,negative,1,2363,2411,011\s011_011_3_1.jpg
011,011_3_4,positive,0,2841,2920,011\s011_011_3_4.jpg
011,011_3_5,positive,0,2944,3031,011\s011_011_3_5.jpg
011,011_3_6,positive,0,3208,3308,011\s011_011_3_6.jpg
011,011_4_1,negative,1,6750,6803,011\s011_011_4_1.jpg
011,011_4_12,negative,1,4158,4254,011\s011_011_4_12.jpg
011,011_4_13,negative,1,2755,2853,011\s011_011_4_13.jpg
011,011_4_2,negative,1,2980,3037,011\s011_011_4_2.jpg
011,011_5_1,negative,1,1048,1088,011\s011_011_5_1.jpg
011,011_6_1,negative,1,4422,4486,011\s011_011_6_1.jpg
011,011_6_13,positive,0,4523,4619,011\s011_011_6_13.jpg
011,011_6_5,positive,0,2504,2602,011\s011_011_6_5.jpg
011,011_6_6,positive,0,2607,2680,011\s011_011_6_6.jpg
