subject,sequence,emotion,label,onset,offset,frame_count,processed_rgb_path
006,006_1_2,negative,1,5562,5632,32,006\006_1_2
006,006_1_3,negative,1,3912,3988,32,006\006_1_3
006,006_1_4,negative,1,2324,2403,32,006\006_1_4
006,006_1_5,negative,1,5343,5424,32,006\006_1_5
006,006_1_6,negative,1,7160,7259,32,006\006_1_6
006,006_2_4,negative,1,180,274,32,006\006_2_4
006,006_3_4,negative,1,639,702,32,006\006_3_4
006,006_3_5,surprise,2,1787,1856,32,006\006_3_5
006,006_5_10,negative,1,1436,1514,32,006\006_5_10
006,006_5_11,negative,1,2130,2226,32,006\006_5_11
006,006_5_9,surprise,2,5258,5351,32,006\006_5_9
007,007_3_1,negative,1,2046,2091,32,007\007_3_1
007,007_5_3,surprise,2,2759,2835,32,007\007_5_3
007,007_6_1,positive,0,497,541,32,007\007_6_1
007,007_6_2,positive,0,1296,1377,32,007\007_6_2
007,007_6_3,positive,0,2560,2617,32,007\007_6_3
007,007_6_5,positive,0,649,723,32,007\007_6_5
007,007_7_1,surprise,2,7030,7070,32,007\007_7_1
007,007_7_5,positive,0,554,637,32,007\007_7_5
009,009_2_1,negative,1,3577,3641,32,009\009_2_1
009,009_3_2,negative,1,1856,1932,32,009\009_3_2
009,009_3_3,negative,1,1968,2045,32,009\009_3_3
009,009_3_4,surprise,2,3334,3419,32,009\009_3_4
010,010_2_1,negative,1,192,228,32,010\010_2_1
010,010_2_8,negative,1,1211,1288,32,010\010_2_8
010,010_4_1,negative,1,3528,3557,32,010\010_4_1
010,010_4_2,negative,1,6708,6738,32,010\010_4_2
011,011_1_4,negative,1,3080,3168,32,011\011_1_4
011,011_2_1,negative,1,2029,2068,32,011\011_2_1
011,011_2_2,negative,1,2069,2125,32,011\011_2_2
011,011_2_3,negative,1,3885,3974,32,011\011_2_3
011,011_2_7,positive,0,3361,3449,32,011\011_2_7
011,011_3_1,negative,1,2363,2411,32,011\011_3_1
011,011_3_4,positive,0,2841,2920,32,011\011_3_4
011,011_3_5,positive,0,2944,3031,32,011\011_3_5
011,011_3_6,positive,0,3208,3308,32,011\011_3_6
011,011_4_1,negative,1,6750,6803,32,011\011_4_1
011,011_4_12,negative,1,4158,4254,32,011\011_4_12
011,011_4_13,negative,1,2755,2853,32,011\011_4_13
011,011_4_2,negative,1,2980,3037,32,011\011_4_2
011,011_5_1,negative,1,1048,1088,32,011\011_5_1
011,011_6_1,negative,1,4422,4486,32,011\011_6_1
011,011_6_13,positive,0,4523,4619,32,011\011_6_13
011,011_6_5,positive,0,2504,2602,32,011\011_6_5
011,011_6_6,positive,0,2607,2680,32,011\011_6_6
011,011_7_1,negative,1,1220,1269,32,011\011_7_1
011,011_7_10,negative,1,3599,3680,32,011\011_7_10
012,012_3_1,negative,1,4621,4676,32,012\012_3_1
012,012_3_2,negative,1,4697,4796,32,012\012_3_2
012,012_7_1,surprise,2,7871,7923,32,012\012_7_1
013,013_1_10,negative,1,3802,3890,32,013\013_1_10
013,013_1_11,negative,1,4490,4582,32,013\013_1_11
013,013_1_12,negative,1,706,802,32,013\013_1_12
013,013_1_8,negative,1,841,919,32,013\013_1_8
013,013_1_9,negative,1,5658,5739,32,013\013_1_9
013,013_7_7,negative,1,2077,2167,32,013\013_7_7
014,014_1_1,negative,1,2856,2897,32,014\014_1_1
014,014_2_3,surprise,2,4616,4705,32,014\014_2_3
014,014_2_4,positive,0,3874,3968,32,014\014_2_4
014,014_3_3,positive,0,2635,2714,32,014\014_3_3
014,014_3_4,positive,0,1426,1523,32,014\014_3_4
014,014_5_2,negative,1,469,557,32,014\014_5_2
014,014_6_1,positive,0,1316,1350,32,014\014_6_1
014,014_6_2,positive,0,1190,1253,32,014\014_6_2
014,014_6_3,positive,0,128,196,32,014\014_6_3
014,014_7_1,positive,0,3529,3598,32,014\014_7_1
015,015_5_1,negative,1,6380,6442,32,015\015_5_1
015,015_5_2,negative,1,6587,6659,32,015\015_5_2
015,015_5_3,surprise,2,6050,6127,32,015\015_5_3
016,016_7_1,negative,1,2275,2323,32,016\016_7_1
016,016_7_2,surprise,2,3840,3892,32,016\016_7_2
016,016_7_3,negative,1,4395,4447,32,016\016_7_3
016,016_7_5,surprise,2,6120,6207,32,016\016_7_5
016,016_7_8,positive,0,12256,12349,32,016\016_7_8
017,017_3_1,negative,1,312,387,32,017\017_3_1
017,017_3_2,surprise,2,83,165,32,017\017_3_2
017,017_3_4,negative,1,174,264,32,017\017_3_4
017,017_6_1,negative,1,1107,1178,32,017\017_6_1
018,018_3_1,negative,1,1405,1500,32,018\018_3_1
018,018_5_1,negative,1,6991,7060,32,018\018_5_1
018,018_7_1,surprise,2,10133,10175,32,018\018_7_1
019,019_4_1,positive,0,4496,4550,32,019\019_4_1
020,020_4_1,negative,1,3440,3497,32,020\020_4_1
020,020_4_2,positive,0,1482,1528,32,020\020_4_2
020,020_7_1,negative,1,8518,8577,32,020\020_7_1
020,020_7_10,positive,0,9071,9165,32,020\020_7_10
021,021_7_1,negative,1,5589,5646,32,021\021_7_1
021,021_7_2,negative,1,2853,2942,32,021\021_7_2
022,022_2_3,negative,1,402,501,32,022\022_2_3
022,022_3_2,negative,1,380,428,32,022\022_3_2
